token1,token2,similarity1,similarity2
acordo,tribunal,2,2
interpretacao,acrescimo,1,1
remedio,moralidade,1,1
equanime,termo,1,1
concurso,correta,1,1
trafego,arte,1,1
expressar,verificase,1,1
virada,pretender,1,1
promessa,administrador,1,1
exame,viena,1,1
configurar,vantagem,1,1
mae,palco,1,1
publico,filho,1,1
hipotese,operar,1,1
justa,excecao,1,2
dinheiro,prestar,2,2
sindicato,agir,1,1
paz,adautar,1,1
governo,nicomaco,1,1
fenomeno,nao,1,1
paco,parede,1,1
chegar,garantir,1,3
encaminhar,sao,1,1
investir,sigilo,1,1
interpor,antiglobalizacao,1,1
continuar,pena,1,1
acertar,morrer,1,1
tijolo,recolhida,1,1
esquema,ceno,1,1
relator,equidade,1,2
conceito,ampliacao,1,3
contador,civilizacao,1,1
terrorismo,demanr,1,1
contrato,ilustracao,1,1
bebado,cometer,1,1
contrapartida,apelacao,1,2
abade,protecao,1,3
retrocesso,arroz,1,1
fornecedor,abolicao,1,1
trazer,alegre,1,1
filosofia,empregador,1,1
entao,estabelecimento,1,1
planejamento,surgir,1,1
guarda,concluir,1,1
representarao,hora,1,1
empregado,caracterizar,1,1
multidao,defensor,1,1
gohn,plenario,1,1
paulo,vencer,1,1
rio,sujeitar,1,1
encontre,chefia,1,1
declarar,indicar,3,3
referida,penitencia,1,1
chefe,item,1,1
cobrar,manifestar,1,2
objetivo,concussao,1,1
conter,rua,1,1
pobre,seguranca,1,1
tonel,assis,1,1
condenacao,avalier,1,1
equitativo,concorrar,1,3
sorte,comando,1,1
refugiado,indenizacao,1,1
omissao,nucleo,1,1
inatividade,realidade,1,3
possibilidade,decorrencia,2,3
intervalo,viragem,2,3
apresentar,ampla,1,1
nota,cia,1,1
fim,contribuinte,1,1
escrito,concentrar,1,1
conflito,servidor,1,1
gramatica,torpe,1,1
cimento,politica,1,1
inspiracao,formar,1,1
povo,cimentar,1,1
irregularidade,dicionario,1,1
assercoes,citar,1,3
compreender,deus,1,1
aquino,especificidade,1,1
socorro,bem,1,1
conjuge,titulo,1,1
excerto,interesse,1,1
responder,carteira,1,1
atender,acesso,1,1
crime,anteprojeto,1,1
fornecida,machado,1,1
justica,representatividade,1,3
resp,dia,1,1
intencao,pratica,3,2
magistrado,solicitar,1,1
exercicio,transacao,1,3
acidente,caso,3,3
